entity_isin,assets_count,priority_assets_count,sensitive_locations,biodiversity_importance,high_ecosystem_integrity,decline_in_ecosystem_integrity,physical_water_risk,ecosystem_services_provision_importance,proximity_to_protected_areas,proximity_to_kbas,species_rarity_weighted_richness,species_threat_abatement,species_threat_abatement_marine,proximity_to_mangroves,ecosystem_integrity_index,biodiversity_intactness_index,ocean_health_index,trend_in_ecosystem_integrity_index,deforestation_hotspots,water_availability,water_pollution,drought,riverine_flood,coastal_flood,cumulative_impact_on_oceans,critical_areas_for_biodiversity_and_ncp,areas_of_importance_for_biodiversity_and_climate
TW0009933002,3,0,0.4779,0.4078,0.3579,0.264,0.612,0.4771,0.1739,0.2026,1.0,0.4754,0.0,0.0,0.0,0.3579,,0.264,0.0,0.25,1.0,,0.3474,0.4826,,0.4811,0.473
TW0009938001,1,0,0.6,0.056,0.3508,0.4955,0.612,0.6,0.0,0.0746,1.0,0.0001,0.0,0.0,0.0,0.3508,,0.4955,0.0,0.25,1.0,,0.3474,0.4826,,0.6,
TW0009939009,2,0,0.3456,0.0086,0.3456,0.2651,0.612,0.2839,0.0,0.0,1.0,0.0115,0.0,0.0,0.0,0.3456,,0.2651,0.0,0.25,1.0,,0.3474,0.4826,,0.1133,0.4545
TW0009940007,2,2,0.612,0.1123,0.3566,0.0804,0.612,1.0,0.0878,0.1123,,0.6705,0.0,0.0,0.0,0.3566,,0.0804,0.0,0.25,1.0,,0.3474,0.4826,,1.0,
TW0009941005,1,1,0.612,0.469,0.3491,0.0762,0.612,0.875,0.4419,0.469,,0.6705,0.0,0.0,0.0,0.3491,,0.0762,0.0,0.25,1.0,,0.3474,0.4826,,0.875,
TW0009945006,2,2,0.6112,0.3184,0.3405,0.1082,0.612,0.6417,0.3184,0.3474,,0.0288,0.0,0.0,0.0,0.3405,,0.1082,0.0,0.25,1.0,,0.3474,0.4826,,0.6875,0.5959
TW0009958009,1,0,0.415,0.0973,0.3678,0.2468,0.612,0.415,0.0,0.0,1.0,0.1297,0.0,0.0,0.0,0.3678,,0.2468,0.0,0.25,1.0,,0.3474,0.4826,,0.325,0.505
US0003602069,1,0,0.3248,0.0,0.3248,0.0129,0.5,0.0588,0.0,0.0,,0.0043,0.0,0.0,0.0,0.3248,,0.0129,0.0,0.5,0.5,0.5024,0.1242,0.0,,0.0588,
US0003611052,1,0,0.5514,0.03,0.2666,0.5514,0.75,0.0667,0.7995,0.0,0.0383,0.0051,0.0,0.0,0.0,0.2666,,0.5514,0.0,0.75,0.75,0.5536,0.0477,0.0,,0.0667,
US00081T1088,1,0,0.5447,0.0026,0.3494,0.5447,0.75,0.3583,0.8564,0.0,,0.0026,0.0,0.0,0.0,0.3494,,0.5447,0.0,0.75,0.75,0.5536,0.0477,0.0,,0.1105,0.606
US0008991046,1,0,0.3744,0.125,0.3744,0.1358,0.3521,0.6044,0.9732,0.0,0.0832,0.0131,0.139,0.0,0.0,0.3744,,0.1358,0.0,0.25,0.75,0.3521,0.0494,0.0,,0.3806,0.8282
US00090Q1031,1,0,0.2702,0.2702,0.2511,0.007,0.6027,0.1364,0.9679,0.0,0.1356,0.0047,0.315,0.0,0.0,0.2511,,0.007,0.0,0.75,0.25,0.316,0.6284,0.2109,0.5256,0.0,0.2727
US00091G1040,1,0,0.3157,0.0004,0.2603,0.171,0.3157,0.3833,0.0,0.8356,,0.0004,0.0,0.0,0.0,0.2603,,0.171,0.0,0.25,0.75,0.3157,0.2773,0.0,,0.0395,0.7272
US0009571003,1,0,0.4334,0.252,0.2886,0.4334,0.2839,0.5065,0.6042,0.0,0.1002,0.0074,0.3026,0.0,0.0,0.2886,,0.4334,0.0,0.0,1.0,0.3004,0.0795,0.0852,0.2345,0.2656,0.7474
US0010551028,27,3,0.4403,0.1218,0.3635,0.178,0.4628,0.3741,0.4446,0.0,0.1713,0.0243,0.0856,0.0,0.0,0.3608,0.7173,0.178,0.0,0.4808,0.5865,0.376,0.1674,0.0444,0.4381,0.2642,0.5964
US0010841023,1,0,0.389,0.0061,0.3428,0.389,0.3776,0.4064,1.0,0.0,,0.0061,0.0,0.0,0.0,0.3428,,0.389,0.0,0.5,0.25,0.3776,0.0657,0.0,,0.1765,0.6363
US00108J1097,1,0,0.5121,0.1381,0.3673,0.008,1.0,0.5121,1.0,0.0,,0.1007,0.1381,0.0,0.0,0.3673,,0.008,0.0,1.0,1.0,0.3631,0.6311,0.3263,,0.6405,0.3838
US00123Q1040,3,1,0.582,0.4657,0.5524,0.4388,0.6473,0.3571,0.8027,0.4689,0.0745,0.1822,0.1463,0.0,0.0468,0.5524,,0.4388,0.0,0.5,1.0,0.5106,0.0635,0.0735,0.5171,0.0914,0.6229
US00130H1059,133,69,0.6337,0.427,0.6274,0.3814,0.5671,0.5319,0.5496,0.2927,0.38,0.3578,0.1604,0.0,0.0509,0.6244,0.7173,0.3876,0.002,0.6366,0.4874,0.5162,0.3153,0.0846,0.4859,0.5093,0.5465
US00164V1035,1,0,0.4109,0.252,0.2883,0.4109,0.3328,0.7565,0.6575,0.0,0.1002,0.0159,0.3026,0.0,0.0,0.2883,,0.4109,0.0,0.25,1.0,0.3604,0.0883,0.0,0.219,0.7656,0.7474
US00165C2035,432,43,0.4618,0.1432,0.3975,0.1444,0.5513,0.4032,0.4372,0.0278,0.1731,0.0415,0.1204,0.0,0.0002,0.3909,0.7173,0.1453,0.0,0.5635,0.6598,0.3956,0.2149,0.0615,0.4212,0.3045,0.5758
US00165C3025,432,43,0.4618,0.1432,0.3975,0.1444,0.5513,0.4032,0.4372,0.0278,0.1731,0.0415,0.1204,0.0,0.0002,0.3909,0.7173,0.1453,0.0,0.5635,0.6598,0.3956,0.2149,0.0615,0.4212,0.3045,0.5758
