entity_isin,country_code,assets_count,percentage_of_assets_in_country
AT0000644505,SGP,1,0.05555555555555555
AT0000644505,THA,1,0.05555555555555555
AT0000644505,TUR,1,0.05555555555555555
AT0000644505,TWN,1,0.05555555555555555
AT0000644505,USA,2,0.1111111111111111
AT0000652011,AUT,19,0.8636363636363636
AT0000652011,CZE,1,0.045454545454545456
AT0000652011,SVK,1,0.045454545454545456
AT0000652011,USA,1,0.045454545454545456
AT0000741053,AUT,3,0.07142857142857142
AT0000741053,VNM,39,0.9285714285714286
AT0000743059,AUT,9,0.28125
AT0000743059,BEL,1,0.03125
AT0000743059,BGR,1,0.03125
AT0000743059,CHE,1,0.03125
AT0000743059,CZE,1,0.03125
AT0000743059,DEU,2,0.0625
AT0000743059,GBR,1,0.03125
AT0000743059,HRV,1,0.03125
AT0000743059,HUN,1,0.03125
AT0000743059,NLD,1,0.03125
AT0000743059,NOR,1,0.03125
AT0000743059,NZL,3,0.09375
AT0000743059,ROU,3,0.09375
AT0000743059,RUS,1,0.03125
AT0000743059,SRB,1,0.03125
AT0000743059,SVK,1,0.03125
AT0000743059,SVN,1,0.03125
AT0000743059,TUR,1,0.03125
AT0000743059,ZAF,1,0.03125
AT0000746409,AUT,2,0.14285714285714285
AT0000746409,DEU,3,0.21428571428571427
AT0000746409,ESP,8,0.5714285714285714
AT0000746409,ROU,1,0.07142857142857142
AT0000937503,ARE,1,0.012048192771084338
AT0000937503,AUS,2,0.024096385542168676
AT0000937503,AUT,16,0.1927710843373494
AT0000937503,BEL,1,0.012048192771084338
AT0000937503,BGR,1,0.012048192771084338
AT0000937503,CAN,1,0.012048192771084338
AT0000937503,CHE,1,0.012048192771084338
AT0000937503,CHN,1,0.012048192771084338
AT0000937503,CZE,1,0.012048192771084338
AT0000937503,DEU,15,0.18072289156626506
AT0000937503,DNK,1,0.012048192771084338
AT0000937503,ECU,1,0.012048192771084338
AT0000937503,ESP,1,0.012048192771084338
AT0000937503,FRA,1,0.012048192771084338
AT0000937503,GBR,1,0.012048192771084338
AT0000937503,GRC,1,0.012048192771084338
AT0000937503,HRV,1,0.012048192771084338
AT0000937503,HUN,1,0.012048192771084338
AT0000937503,IND,2,0.024096385542168676
AT0000937503,ITA,2,0.024096385542168676
AT0000937503,KOR,1,0.012048192771084338
AT0000937503,LTU,1,0.012048192771084338
AT0000937503,MEX,1,0.012048192771084338
AT0000937503,NLD,1,0.012048192771084338
AT0000937503,NOR,1,0.012048192771084338
AT0000937503,POL,1,0.012048192771084338
AT0000937503,ROU,1,0.012048192771084338
